petition_idx	status	begin	end	category	num_agree	title
343663	청원종료	2018-08-16	2018-09-15	외교/통일/국방	558	국방부 "해안·강 경계철책 300㎞ 중 절반 단계적 철거"  대한민국 안전을 위협합니다.
296329	청원종료	2018-07-05	2018-08-04	외교/통일/국방	556	국군기무사령부(기무사)해체해 주십시요
97546	청원종료	2018-01-16	2018-02-15	외교/통일/국방	554	병역특례법에 따른 보충역 군복무기간 단축 청원
390122	청원종료	2018-09-26	2018-10-26	외교/통일/국방	550	욱일기를 게양한 일본 군함의 제주관함식 참석 허용 금지
330153	청원종료	2018-08-05	2018-09-04	외교/통일/국방	547	제가 사랑하는 부대 UDT를 지켜주십시오.
372243	청원종료	2018-09-08	2018-10-08	외교/통일/국방	546	제주도 욱일기 단 배 진입금지 청원
299633	청원종료	2018-07-07	2018-08-06	외교/통일/국방	541	이집트 예멘 가짜 난민들 추방
313039	청원종료	2018-07-20	2018-08-19	외교/통일/국방	532	기무사의 반란 모의 사건을 특검 수사해 주십시오
237949	청원종료	2018-05-20	2018-06-19	외교/통일/국방	530	군무원 제도개혁과 국방공무원제 도입이 필요합니다!!
344100	청원종료	2018-08-16	2018-09-15	외교/통일/국방	527	부산 무비자체류 허용 절대 안됩니다!
278756	청원종료	2018-06-21	2018-07-21	외교/통일/국방	525	입영 훈련병 복지 개선
